estado,municipio,parroquia,old_centro,new_centro,address
28,ARAGUA,GIRARDOT,JOSE CASANOVA GODOY,ESCUELA PRIVADA ACADEMOS,UNIDAD EDUCATIVA SIMON BOLIVAR,BARRIO BOLIVAR 1 IZQUIERDA AVENIDA BERMUDEZ. FRENTE AVENIDA ARAGUA. DERECHA CALLE SIMON RODRIGUEZ  FRENTE CC MARACAY PLAZA CASA
29,ARAGUA,JOSE FELIX RIBAS,CM. JUAN VICENTE BOLIVAR,CENTRO LA CASONA,ESCUELA BASICA NACIONAL CECILIO ACOSTA,"SECTOR LA OTRA BANDA FRENTE CALLE CANDELARIA SUR. IZQUIERDA SENDERO TERRENO PATIO DE BOLAS. DERECHA CAMINO SUPERMERCADO SOLIDARIO OTRA BANDA A 20
METROS DE EL PARQUE LA ESTACION  EDIFICIO"
30,ARAGUA,JOSE FELIX RIBAS,CASTOR NIEVES RIOS,UNIDAD EDUCATIVA NACIONAL LUIS AUGUSTO MACHADO,UNIDAD EDUCATIVA LUISA CASERES DE ARISMENDI,"HACIENDA  LA MORA FRENTE MANZANA  3, AL LADO DE LA ALCALDIA  DEL JOSE FELIX RIBAS"
31,ARAGUA,JOSE FELIX RIBAS,CASTOR NIEVES RIOS,CENTRO CAPACITACION ADULTOS ESTADAL CARMEN  PILAR FERNANDEZ,UNIVERSIDAD POLITECNICA TERRITORIAL DEL ESTADO ARAGUA FEDERICO BRITO FIGUEROA (UPTAFBF ),"AVENIDA UNIVERSIDAD DE LA VICTORIA, PARROQUIA CASTOR NIEVES RÍOS"
32,ARAGUA,SAN SEBASTIAN,CM. SAN SEBASTIAN,UNIDAD EDUCATIVA ESTADAL  RURAL  VALLE DE LA CRUZ,ESCUELA BASICA ESTADAL ANDRES RODRIGUEZ RAMIREZ,SECTOR EL POLVERO DERECHA CALLE ROMULO GALLEGOS. IZQUIERDA  CALLE PRINCIPAL. FRENTE CALLE LA PISTA 80 METROS DEL ESTADIUM MUNICIPAL EDIFICIO
33,ARAGUA,SAN SEBASTIAN,CM. SAN SEBASTIAN,"ESCUELA UNITARIA Nº
131",UNIDAD EDUCATIVA NACIONAL BRISAS DE MOSOCO,"SECTOR BRISAS DE MOSOCO DERECHA  CALLE TEO GALINDE. IZQUIERDA CALLE AURA DEL VALLE. FRENTE CALLE CALLE PRINCIPAL  DE LA ZONA INDUSTRIAL MODULO BARRIO ADENTRO A 100
METROS EDIFICIO"
34,ARAGUA,SAN SEBASTIAN,CM. SAN SEBASTIAN,ESCUELA ESPECIAL GUARATE,UNIDAD EDUCATIVA NACIONAL BRISAS DE MOSOCO,"SECTOR BRISAS DE MOSOCO DERECHA  CALLE TEO GALINDE. IZQUIERDA CALLE AURA DEL VALLE. FRENTE CALLE CALLE PRINCIPAL  DE LA ZONA INDUSTRIAL MODULO BARRIO ADENTRO A 100
METROS EDIFICIO"
35,ARAGUA,SUCRE,CM. CAGUA,PREESCOLAR NACIONAL BOLIVARIANO ANTONIO JOSE DE SU,UNIDAD EDUCATIVA NACIONAL MANUEL MANZO GORESTEGUI,"SECTOR TAMBORITO  DERECHA CALLE LOS COCOS.
IZQUIERDA  CALLE EL CANAL.  FRENTE CALLE SABANA LARGA FRENTE AL PARQUE EL ESTUDIANTE EDIFICIO"
36,ARAGUA,ZAMORA,CM. VILLA DE CURA,PREESCOLAR NACIONAL BOLIVARIANO LA REPRESA,ESCUELA BASICA MANUEL MORALES CARABAÑO,SECTOR EL TOQUITO IZQUIERDA AVENIDA PRINCIPAL. FRENTE AVENIDA AMADOR  BENDAYAN. DERECHA VEREDA 6 FRENTE A LA CANCHA EDIFICIO
37,ARAGUA,JOSE ANGEL LAMAS,CM. SANTA CRUZ,ESCUELA BASICA SANTOS ANIBAL DOMINICE,UNIDAD EDUCATIVA NACIONAL CARLOS RAMON APONTE,SECTOR CARRETERA NACIONAL VIA TURAGUA DERECHA CARRETERA NACIONAL. FRENTE CARRETERA VIA TURAGUA. IZQUIERDA  CALLEJÓN JARDINES DE TURAGUA  AL LADO DE LA URBANIZACION JARDINES DE TURAGUA EDIFICIO
